iter	RMSE
0	0.3911657836
1	0.3884047985
2	0.3855006628
3	0.382608151
4	0.3797316022
5	0.3769209424
6	0.3743342241
7	0.3716415803
8	0.3690450721
9	0.3664025592
10	0.3636535433
11	0.3609219955
12	0.3582196434
13	0.3558048049
14	0.353348248
15	0.3508993649
16	0.3483957789
17	0.3458341342
18	0.3434532789
19	0.3409719725
20	0.3385800479
21	0.3364117448
22	0.3340009553
23	0.3316701747
24	0.3294519205
25	0.3272468018
26	0.3251433721
27	0.3230234879
28	0.3208049748
29	0.3185071408
30	0.3164167634
31	0.314128056
32	0.3119970553
33	0.3101494456
34	0.3081647135
35	0.3061450746
36	0.3042043379
37	0.3023692051
38	0.3004947665
39	0.2985861406
40	0.2966157033
41	0.2947410067
42	0.2928321472
43	0.2910793304
44	0.2891833054
45	0.2874641889
46	0.2856604862
47	0.2838182294
48	0.2819419603
49	0.2801237993
50	0.278517038
51	0.2767152086
52	0.2750047563
53	0.2732431742
54	0.2715701632
55	0.2698019805
56	0.2682914721
57	0.266661595
58	0.2650814921
59	0.2635449021
60	0.262071367
61	0.2605283379
62	0.2590535693
63	0.257602708
64	0.2560794751
65	0.2545233708
66	0.2529342305
67	0.2515228031
68	0.2501568878
69	0.2486842837
70	0.2471863698
71	0.2458786246
72	0.2446385257
73	0.2431923953
74	0.2417982412
75	0.2403628295
76	0.2389733183
77	0.2376789632
78	0.2363954335
79	0.2350089973
80	0.2337273606
81	0.2324928868
82	0.2312081148
83	0.2299579282
84	0.2287938213
85	0.2275607524
86	0.2264989891
87	0.2253124544
88	0.2241820327
89	0.2230262973
90	0.2218044936
91	0.2205942361
92	0.2195471098
93	0.2184792882
94	0.2174674863
95	0.216455286
96	0.2153822018
97	0.2142676173
98	0.2131581943
99	0.2121958744
100	0.2111538089
101	0.2101638864
102	0.2091918844
103	0.2081574274
104	0.2071492452
105	0.2062370387
106	0.2052592123
107	0.20433084
108	0.2033608936
109	0.2024113508
110	0.2015327352
111	0.2005719118
112	0.1996741883
113	0.1988703304
114	0.1980373562
115	0.1972430924
116	0.1964484496
117	0.1956224361
118	0.1948113634
119	0.1939734991
120	0.1932709556
121	0.1925231182
122	0.1916404869
123	0.1908315916
124	0.190002929
125	0.1891674395
126	0.1883200612
127	0.1875555337
128	0.1867845073
129	0.1859789685
130	0.1852657799
131	0.1845381449
132	0.1839114757
133	0.1832042437
134	0.1824363607
135	0.1816637838
136	0.1809870089
137	0.1802600926
138	0.1795792024
139	0.1788257658
140	0.1781062351
141	0.1774340883
142	0.1767573139
143	0.1760507713
144	0.1753435539
145	0.1747247018
146	0.174063758
147	0.1734315203
148	0.1728130141
149	0.1721496732
150	0.1715078789
151	0.1708845107
152	0.1703633345
153	0.1697258544
154	0.1690968363
155	0.1684562081
156	0.1678963607
157	0.1672597901
158	0.1666976385
159	0.1661187326
160	0.1655595667
161	0.164901918
162	0.1643480192
163	0.1637712711
164	0.1631787224
165	0.1626486333
166	0.1621048301
167	0.1616418942
168	0.161201891
169	0.1606786383
170	0.1601761976
171	0.1596533124
172	0.1591266245
173	0.1586301957
174	0.1581892963
175	0.157691886
176	0.1572475186
177	0.1567607171
178	0.1562621742
179	0.1558441675
180	0.155457491
181	0.1549847857
182	0.1545274302
183	0.1540207679
184	0.1536148514
185	0.1531195664
186	0.1526714974
187	0.1522559195
188	0.1518771249
189	0.1514786893
190	0.1510740397
191	0.150618072
192	0.1502092343
193	0.1497658591
194	0.1493703021
195	0.1489801473
196	0.1485508732
197	0.1481574936
198	0.1477478116
199	0.1473490632
200	0.1469095202
201	0.1465254401
202	0.1461482991
203	0.1458004823
204	0.1454133476
205	0.1449976364
206	0.1446612602
207	0.1442784902
208	0.1439433894
209	0.143559312
210	0.1432101649
211	0.1428706471
212	0.1425102232
213	0.1421675077
214	0.1418457558
215	0.1415200612
216	0.1411995933
217	0.1408104211
218	0.1404521181
219	0.1400605239
220	0.1397615282
221	0.1394154245
222	0.1390977318
223	0.1387372162
224	0.1384352991
225	0.1380911458
226	0.1378003623
227	0.1375411423
228	0.1372539294
229	0.1369427381
230	0.1366182616
231	0.1363362972
232	0.136012091
233	0.1356719584
234	0.1353864485
235	0.1351118926
236	0.1348211321
237	0.1345258731
238	0.1342362511
239	0.1339107821
240	0.1336547359
241	0.1333727501
242	0.1330781029
243	0.13282366
244	0.1325189062
245	0.1322511895
246	0.1319949366
247	0.1317053943
248	0.131405969
249	0.1311163174
250	0.1308495641
251	0.1305761779
252	0.1303531125
253	0.1301152536
254	0.1298599834
255	0.1295892015
256	0.1292868539
257	0.1290369655
258	0.1288221875
259	0.1285568867
260	0.1283262933
261	0.1280268501
262	0.1278321418
263	0.1275966667
264	0.1273629799
265	0.1271291339
266	0.126885807
267	0.1266335018
268	0.1264023267
269	0.1261548934
270	0.1259177173
271	0.1256850284
272	0.1254381011
273	0.1252062512
274	0.1249710901
275	0.1247166675
276	0.1244858115
277	0.1242113684
278	0.1239931799
279	0.1237948997
280	0.1236006449
281	0.1233854032
