iter	Passed	Remaining
0	6	32378
1	14	35898
2	21	35860
3	29	37050
4	37	37787
5	42	35209
6	50	35717
7	56	35348
8	63	35470
9	70	35145
10	78	35471
11	86	36132
12	93	35847
13	100	35944
14	108	36000
15	115	35957
16	122	35986
17	129	35937
18	136	35885
19	143	35853
20	150	35633
21	159	36044
22	166	35948
23	172	35734
24	179	35687
25	185	35552
26	192	35547
27	220	39235
28	247	42404
29	298	49435
30	308	49394
31	316	49200
32	325	48940
33	332	48504
34	339	48132
35	346	47757
36	353	47422
37	361	47250
38	369	47049
39	376	46740
40	384	46543
41	391	46233
42	396	45687
43	402	45349
44	410	45153
45	416	44893
46	424	44700
47	432	44662
48	440	44516
49	447	44326
50	454	44065
51	462	43976
52	469	43805
53	477	43736
54	484	43568
55	492	43437
56	498	43260
57	508	43285
58	515	43196
59	523	43084
60	530	42925
61	537	42816
62	544	42689
63	553	42709
64	562	42668
65	583	43598
66	590	43488
67	598	43400
68	605	43288
69	613	43205
70	620	43104
71	629	43077
72	636	42958
73	643	42828
74	650	42732
75	657	42596
76	664	42474
77	673	42469
78	679	42340
79	686	42246
80	693	42101
81	699	41966
82	708	41956
83	715	41854
84	722	41774
85	729	41694
86	737	41640
87	745	41614
88	752	41528
89	760	41470
90	767	41414
91	775	41393
92	782	41313
93	789	41214
94	796	41146
95	803	41056
96	811	41039
97	820	41050
98	827	40953
99	835	40920
100	842	40877
101	851	40866
102	858	40802
103	865	40753
104	873	40708
105	879	40623
106	887	40566
107	894	40507
108	901	40451
109	909	40414
110	915	40331
111	923	40283
112	929	40203
113	939	40265
114	946	40185
115	952	40104
116	959	40048
117	967	40037
118	974	39981
119	981	39928
120	988	39860
121	995	39795
122	1001	39709
123	1008	39652
124	1016	39653
125	1023	39582
126	1029	39511
127	1036	39441
128	1044	39434
129	1051	39395
130	1058	39352
131	1065	39295
132	1072	39244
133	1079	39188
134	1087	39187
135	1095	39171
136	1102	39150
137	1109	39101
138	1117	39074
139	1124	39045
140	1132	39023
141	1139	38989
142	1147	38965
143	1154	38933
144	1162	38925
145	1172	38984
146	1179	38953
147	1187	38934
148	1196	38943
149	1204	38935
150	1213	38975
151	1220	38934
152	1228	38904
153	1236	38899
154	1245	38924
155	1252	38893
156	1259	38844
157	1266	38819
158	1274	38816
159	1282	38794
160	1291	38814
161	1310	39137
162	1317	39094
163	1324	39062
164	1331	39023
165	1338	38987
166	1345	38952
167	1352	38901
168	1361	38908
169	1369	38897
170	1375	38846
171	1382	38808
172	1389	38771
173	1396	38727
174	1404	38710
175	1412	38705
176	1418	38663
177	1425	38618
178	1432	38592
179	1440	38583
180	1447	38546
181	1454	38514
182	1461	38466
183	1467	38417
184	1474	38375
185	1481	38353
186	1488	38317
187	1496	38293
188	1502	38254
189	1509	38224
190	1518	38228
191	1525	38208
192	1533	38199
193	1541	38187
194	1548	38156
195	1556	38143
196	1565	38171
197	1573	38152
198	1579	38113
199	1587	38099
200	1594	38061
201	1601	38046
202	1609	38035
203	1617	38023
204	1624	38003
205	1632	37988
206	1640	37979
207	1647	37948
208	1654	37931
209	1662	37919
210	1669	37894
211	1677	37877
212	1685	37887
213	1693	37866
214	1700	37848
215	1708	37843
216	1716	37842
217	1724	37829
218	1731	37791
219	1737	37757
220	1744	37728
221	1753	37740
222	1762	37765
223	1769	37732
224	1776	37694
225	1784	37685
226	1792	37696
227	1800	37676
228	1807	37655
229	1814	37626
230	1820	37592
231	1829	37593
232	1862	38115
233	1870	38090
234	1877	38075
235	1884	38048
236	1892	38034
237	1899	38007
238	1909	38035
239	1916	38002
240	1922	37967
241	1930	37955
242	1937	37932
243	1945	37913
244	1954	37926
245	1962	37922
246	1969	37891
247	1975	37861
248	1983	37836
249	1990	37816
250	1997	37789
251	2004	37768
252	2011	37735
253	2017	37704
254	2026	37710
255	2034	37709
256	2042	37699
257	2050	37694
258	2058	37686
259	2067	37695
260	2075	37677
261	2082	37663
262	2089	37639
263	2097	37624
264	2104	37609
265	2112	37594
266	2118	37562
267	2126	37547
268	2133	37515
269	2140	37495
270	2158	37666
271	2164	37631
272	2172	37617
273	2180	37612
274	2187	37593
275	2194	37560
276	2200	37524
277	2207	37503
278	2215	37494
279	2223	37486
280	2230	37457
281	2238	37445
282	2246	37437
283	2253	37428
284	2261	37414
285	2268	37388
286	2275	37365
287	2282	37348
288	2289	37322
289	2297	37320
290	2304	37295
291	2311	37270
292	2319	37259
293	2328	37271
294	2335	37248
295	2342	37229
296	2349	37199
297	2356	37178
298	2362	37146
299	2371	37149
300	2378	37123
301	2384	37093
302	2391	37067
303	2398	37049
304	2405	37022
305	2412	37007
306	2420	36995
307	2426	36967
308	2434	36955
309	2440	36927
310	2448	36922
311	2455	36895
312	2462	36881
313	2469	36853
314	2477	36841
315	2484	36820
316	2491	36813
317	2499	36805
318	2506	36777
319	2512	36751
320	2520	36742
321	2528	36727
322	2534	36700
323	2541	36675
324	2547	36650
325	2554	36627
326	2561	36601
327	2570	36613
328	2577	36589
329	2584	36575
330	2591	36550
331	2598	36537
332	2605	36517
333	2614	36526
334	2621	36507
335	2629	36500
336	2636	36487
337	2645	36482
338	2651	36457
339	2658	36443
340	2665	36422
341	2673	36407
342	2680	36400
343	2688	36388
344	2696	36382
345	2703	36368
346	2711	36360
347	2719	36354
348	2726	36340
349	2734	36334
350	2742	36328
351	2750	36324
352	2758	36308
353	2766	36308
354	2775	36310
355	2781	36288
356	2788	36267
357	2796	36262
358	2804	36257
359	2811	36240
360	2818	36217
361	2825	36197
362	2831	36173
363	2838	36153
364	2847	36161
365	2854	36146
366	2861	36126
367	2868	36110
368	2877	36115
369	2884	36100
370	2893	36098
371	2900	36083
372	2907	36064
373	2914	36046
374	2923	36050
375	2930	36032
376	2936	36009
377	2943	35991
378	2951	35985
379	2958	35969
380	2965	35954
381	2971	35927
382	2978	35905
383	2985	35888
384	2992	35865
385	3001	35879
386	3008	35858
387	3014	35837
388	3021	35816
389	3028	35798
390	3036	35789
391	3044	35792
392	3051	35773
393	3058	35757
394	3065	35735
395	3072	35724
396	3080	35713
397	3087	35700
398	3094	35679
399	3100	35658
400	3108	35645
401	3114	35623
402	3123	35630
403	3130	35612
404	3137	35591
405	3152	35671
406	3160	35660
407	3167	35654
408	3174	35636
409	3182	35623
410	3188	35600
411	3197	35603
412	3204	35594
413	3213	35591
414	3219	35575
415	3257	35895
416	3263	35870
417	3271	35856
418	3278	35842
419	3286	35835
420	3293	35825
421	3301	35819
422	3309	35806
423	3317	35804
424	3325	35796
425	3333	35788
426	3340	35771
427	3348	35769
428	3356	35760
429	3363	35744
430	3371	35741
431	3379	35731
432	3387	35727
433	3396	35736
434	3404	35726
435	3411	35707
436	3419	35702
437	3428	35713
438	3437	35710
439	3444	35693
440	3450	35673
441	3458	35663
442	3466	35654
443	3473	35637
444	3480	35624
445	3487	35612
446	3497	35623
447	3505	35614
448	3524	35723
449	3531	35707
450	3539	35704
451	3549	35714
452	3557	35705
453	3564	35692
454	3572	35681
455	3579	35668
456	3588	35668
457	3595	35657
458	3603	35646
459	3609	35625
460	3618	35630
461	3625	35610
462	3632	35591
463	3638	35569
464	3645	35549
465	3651	35529
466	3657	35506
467	3666	35508
468	3673	35491
469	3681	35480
470	3687	35460
471	3694	35439
472	3700	35418
473	3707	35403
474	3714	35385
475	3721	35368
476	3728	35357
477	3736	35347
478	3744	35340
479	3750	35321
480	3757	35301
481	3764	35287
482	3771	35272
483	3778	35251
484	3785	35239
485	3791	35220
486	3798	35203
487	3805	35188
488	3814	35186
489	3821	35169
490	3828	35154
491	3834	35136
492	3841	35121
493	3848	35101
494	3855	35085
495	3863	35081
496	3870	35064
497	3877	35053
498	3884	35038
499	3893	35039
500	3899	35021
501	3906	35001
502	3913	34984
503	3919	34965
504	3925	34944
505	3934	34944
506	3940	34924
507	3948	34918
508	3955	34898
509	3963	34890
510	3969	34874
511	3976	34860
512	3983	34839
513	3986	34789
514	3992	34772
515	3999	34751
516	4006	34743
517	4013	34727
518	4020	34716
519	4028	34704
520	4034	34686
521	4041	34672
522	4048	34656
